OccupationTitle,MedianWeeklySalary
Hosts and hostesses restaurant lounge and coffee shop,471
Food preparation and serving related workers all other,-
Building and grounds cleaning and maintenance occupations,551
First-line supervisors of housekeeping and janitorial workers,711
First-line supervisors of landscaping lawn service and groundskeeping workers,770
Janitors and building cleaners,571
Maids and housekeeping cleaners,467
Pest control workers,688
Grounds maintenance workers,572
Personal care and service occupations,544
First-line supervisors of gaming workers,793
First-line supervisors of personal service workers,747
Animal trainers,-
Nonfarm animal caretakers,555
Gaming services workers,654
Motion picture projectionists,-
Ushers lobby attendants and ticket takers,-
Miscellaneous entertainment attendants and related workers,523
Embalmers and funeral attendants,-
Morticians undertakers and funeral directors,-
Barbers,-
Hairdressers hairstylists and cosmetologists,545
Miscellaneous personal appearance workers,523
Baggage porters bellhops and concierges,620
Tour and travel guides,-
Childcare workers,500
Personal care aides,500
Recreation and fitness workers,603
Residential advisors,-
Personal care and service workers all other,522
Sales and office occupations,742
Sales and related occupations,798
First-line supervisors of retail sales workers,795
First-line supervisors of non-retail sales workers,1153
Cashiers,465
Counter and rental clerks,729
Parts salespersons,702
Retail salespersons,657
Advertising sales agents,998
Insurance sales agents,859
Securities commodities and financial services sales agents,1440
Travel agents,789
Sales representatives services all other,1230
Sales representatives wholesale and manufacturing,1161
Models demonstrators and product promoters,-
Real estate brokers and sales agents,1019
Sales engineers,-
Telemarketers,559
Door-to-door sales workers news and street vendors and related workers,-
Sales and related workers all other,1036
Office and administrative support occupations,717
First-line supervisors of office and administrative support workers,885
Switchboard operators including answering service,-
Telephone operators,-
Communications equipment operators all other,-
Bill and account collectors,711
Billing and posting clerks,721
Bookkeeping accounting and auditing clerks,742
Gaming cage workers,-
Payroll and timekeeping clerks,827
Procurement clerks,-
Tellers,584
Financial clerks all other,839
Brokerage clerks,-
Correspondence clerks,-
Court municipal and license clerks,897
Credit authorizers checkers and clerks,818
Customer service representatives,683
Eligibility interviewers government programs,887
File clerks,650
Hotel motel and resort desk clerks,520
Interviewers except eligibility and loan,702
Library assistants clerical,-
Loan interviewers and clerks,827
New accounts clerks,-
Order clerks,659
Human resources assistants except payroll and timekeeping,816
Receptionists and information clerks,605
Reservation and transportation ticket agents and travel clerks,745
Information and record clerks all other,733
Cargo and freight agents,-
Couriers and messengers,786
Dispatchers,783
Meter readers utilities,-
Postal service clerks,765
Postal service mail carriers,931
Postal service mail sorters processors and processing machine operators,980
Production planning and expediting clerks,870
Shipping receiving and traffic clerks,632
Stock clerks and order fillers,562
Weighers measurers checkers and samplers recordkeeping,-
Secretaries and administrative assistants,759
Computer operators,763
Data entry keyers,655
Word processors and typists,858
Desktop publishers,-
Insurance claims and policy processing clerks,719
Mail clerks and mail machine operators except postal service,-
Office clerks general,697
Office machine operators except computer,-
Proofreaders and copy markers,-
Statistical assistants,-
Office and administrative support workers all other,794
Natural resources construction and maintenance occupations,824
Farming fishing and forestry occupations,581
First-line supervisors of farming fishing and forestry workers,-
Agricultural inspectors,-
Animal breeders,-
Graders and sorters agricultural products,593
Miscellaneous agricultural workers,552
Fishers and related fishing workers,-
Hunters and trappers,-
Forest and conservation workers,-
Logging workers,-
Construction and extraction occupations,808
First-line supervisors of construction trades and extraction workers,1059
Boilermakers,-
Brickmasons blockmasons and stonemasons,763
Carpenters,756
Carpet floor and tile installers and finishers,692
Cement masons concrete finishers and terrazzo workers,-
Construction laborers,717
Paving surfacing and tamping equipment operators,-
Pile-driver operators,-
Operating engineers and other construction equipment operators,905
Drywall installers ceiling tile installers and tapers,704
Electricians,965
Glaziers,-
Insulation workers,-
Painters construction and maintenance,679
Paperhangers,-
